"clinton-.htm | Question 0"
"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)"
"In general, do you approve or disapprove of the job Bill Clinton is doing as president?"
date,approve,disapprove,not sure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""1/16-18/99""",68,29,3,1011,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""12/19/98 ^""",72,25,3,510,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""12/15/98 *""",68,28,4,507,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""12/3-6/98""",65,31,4,2106,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""10/24-27/98""",68,29,3,1025,,rv,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""9/10-13/98""",66,31,3,2005,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""8/20/98 *""",69,27,4,503,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""8/15-16/98 *""",70,24,6,837,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""7/29/98 *""",68,27,5,501,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""7/25-27/98""",64,30,6,1006,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""6/18-21/98""",63,30,7,2006,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""4/18-20/98""",66,29,5,1004,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""2/26 - 3/1/98""",66,28,6,2004,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""1/17-19/98""",62,30,8,1005,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""12/4-8/97""",59,33,8,2013,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""10/25-28/97""",57,34,9,1214,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""9/11-15/97""",62,29,9,2004,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""7/26-28/97""",56,36,8,1002,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""6/19-23/97""",58,33,9,2007,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""4/26-28/97""",57,36,7,1009,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""3/6-10/97""",57,36,7,2010,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""1/25-27/97""",60,32,8,1002,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)






"clinton-.htm | Question 1"
"Gallup/CNN/USA Today Poll"
"Do you approve or disapprove of the way Bill Clinton is handling his job as president?"
date,approve,disapprove,no opinion,sample_size,,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""1/10-14/01 **""",66,29,5,1004,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""1/5-7/01""",65,31,4,1018,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""12/15-17/00""",66,32,2,1011,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""12/2-4/00 **""",60,35,5,1026,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""11/13-15/00 **""",63,33,4,1028,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""10/6-9/00 **""",58,37,5,1052,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""9/11-13/00""",60,34,6,,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""8/29 - 9/3/00""",62,35,3,,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""8/18-19/00""",62,35,3,1043,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""8/11-12/00""",58,39,3,1023,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""8/4-5/00""",57,40,3,1051,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""7/25-26/00""",57,39,4,1035,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""7/14-16-/00""",59,37,4,1063,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""7/6-9/00 **""",59,36,5,1001,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""6/22-25/00""",55,40,5,,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""6/6-7/00""",60,36,4,1059,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""5/18-21/00 *""",57,37,6,1011,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""5/5-7/00""",57,36,7,1031,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""4/28-30/00""",59,39,2,1003,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""3/30 - 4/2/00""",62,34,4,998,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""3/17-19/00 **""",56,39,5,1024,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""3/10-12/00""",63,34,3,1006,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""2/25-27/00""",57,39,4,1004,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""2/14-15/00""",62,34,4,1050,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
